Profile Summary for standard Attention\n==================================================\n\n-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                        torch::autograd::AccumulateGrad         0.67%     742.154us         1.88%       2.095ms       6.982us       0.000us         0.00%     357.890us       1.193us           0 b           0 b    -156.00 Mb    -156.00 Mb           300  
                                              aten::add         0.46%     513.622us         0.77%     860.851us      17.217us     349.921us         0.25%     349.921us       6.998us           0 b           0 b     200.00 Mb     200.00 Mb            50  
                                           Unrecognized         1.61%       1.792ms         1.61%       1.792ms       1.792ms     107.521us         0.08%     107.521us     107.521us           0 b           0 b           0 b           0 b             1  
                                        aten::ones_like         0.13%     140.576us         1.06%       1.179ms      23.586us       0.000us         0.00%      81.182us       1.624us           0 b           0 b      25.00 Kb           0 b            50  
                                            aten::fill_         0.24%     262.611us         0.56%     622.169us      12.443us      81.182us         0.06%      81.182us       1.624us           0 b           0 b           0 b           0 b            50  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      81.182us         0.06%      81.182us       1.624us           0 b           0 b           0 b           0 b            50  
                                                aten::t         2.24%       2.493ms         5.37%       5.971ms       5.971us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1000  
                                        aten::transpose         4.34%       4.831ms         5.90%       6.563ms       3.860us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1700  
                                       aten::as_strided         1.79%       1.993ms         1.79%       1.993ms       0.996us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2000  
                                             aten::view         2.35%       2.609ms         2.35%       2.609ms       2.269us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1150  
                                        cudaMemsetAsync         1.81%       2.009ms         1.81%       2.009ms       5.739us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           350  
          cudaOccupancyMaxActiveBlocksPerMultiprocessor         0.34%     380.811us         0.34%     380.811us       0.952us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           400  
                                       cudaLaunchKernel        12.52%      13.927ms        12.52%      13.927ms       6.794us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2050  
                                     aten::_unsafe_view         1.16%       1.293ms         1.16%       1.293ms       2.155us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           600  
                                           aten::expand         1.02%       1.138ms         1.22%       1.356ms       5.426us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           250  
                                       aten::empty_like         1.29%       1.429ms         4.75%       5.280ms       7.542us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       5.47 Gb           0 b           700  
                                            aten::empty         2.94%       3.267ms         2.94%       3.267ms       5.445us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       3.56 Gb       3.56 Gb           600  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us         400 b         400 b      -4.30 Gb      -4.30 Gb           750  
                                    aten::empty_strided         0.72%     802.348us         0.72%     802.348us       5.349us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       1.95 Gb       1.95 Gb           150  
                                  cudaStreamIsCapturing         0.06%      66.727us         0.06%      66.727us       0.667us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           100  
      autograd::engine::evaluate_function: SumBackward0         0.27%     304.680us         0.62%     693.776us      13.876us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            50  
